ensembl_transcript_id	ensembl_gene_id	chromosome_name	transcript_start	transcript_end	external_gene_id	percentage_gc_content	gene_biotype	source	name_1006	cds_length
ENST00000345317	ENSG00000005020	7	26706681	26904362	SKAP2	36.94	protein_coding	ensembl	cytosol	1080
ENST00000317881	ENSG00000005022	X	118602363	118605282	SLC25A5	53.25	protein_coding	ensembl	viral reproduction	897
ENST00000394650	ENSG00000005059	4	110481361	110609874	CCDC109B	41.02	protein_coding	ensembl	integral to membrane	1011
ENST00000006015	ENSG00000005073	7	27221134	27224835	HOXA11	55.22	protein_coding	ensembl	proximal/distal pattern formation	942
ENST00000393794	ENSG00000005075	7	102113910	102119346	POLR2J	55.04	protein_coding	ensembl	protein dimerization activity	384
ENST00000225296	ENSG00000005100	17	5344232	5372380	DHX33	45.81	protein_coding	ensembl	helicase activity	2124
ENST00000318579	ENSG00000005102	17	41717756	41739322	MEOX1	51.61	protein_coding	ensembl	nucleolus	765
ENST00000378526	ENSG00000005156	17	33307513	33332083	LIG3	47.71	protein_coding	ensembl	mitochondrial DNA repair	3030
ENST00000005386	ENSG00000005175	12	48057070	48099844	RPAP3	36.73	protein_coding	ensembl	protein binding	1998
ENST00000289416	ENSG00000005187	16	20775024	20808903	ACSM3	41.08	protein_coding	ensembl	regulation of blood pressure	1761
ENST00000261377	ENSG00000005189	16	20817821	20860987	AC004381.6	39.89	protein_coding	ensembl	nucleotide binding	2325
ENST00000394391	ENSG00000005194	16	57462081	57481440	CIAPIN1	44.41	protein_coding	ensembl	nucleus	939
ENST00000322813	ENSG00000005238	9	35104118	35115893	FAM214B	54.68	protein_coding	ensembl	nucleus	1617
ENST00000006101	ENSG00000005243	17	46103535	46115139	COPZ2	52.7	protein_coding	ensembl	cis-Golgi network	627
ENST00000265717	ENSG00000005249	7	106685094	106802256	PRKAR2B	38.63	protein_coding	ensembl	fatty acid metabolic process	1257
ENST00000312196	ENSG00000005302	X	11776278	11793870	MSL3	42.85	protein_coding	ensembl	transcription from RNA polymerase II promoter	1566
ENST00000262367	ENSG00000005339	16	3775055	3930727	CREBBP	45.01	protein_coding	ensembl	RNA polymerase II transcription factor binding	7329
ENST00000355701	ENSG00000005379	17	56378598	56406152	BZRAP1	57.85	protein_coding	ensembl	cytoplasm	5724
ENST00000340482	ENSG00000005381	17	56347217	56358296	MPO	55.13	protein_coding	ensembl	chromatin binding	2334
ENST00000222381	ENSG00000005421	7	94926988	94954019	PON1	39.93	protein_coding	ensembl	positive regulation of cholesterol efflux	1068
ENST00000321027	ENSG00000005436	2	75889832	75938115	GCFC2	36.39	protein_coding	ensembl	negative regulation of transcription, DNA-dependent	2346
ENST00000348227	ENSG00000005448	2	74648857	74652882	WDR54	54.68	protein_coding	ensembl	protein binding	1005
ENST00000419147	ENSG00000005469	7	86974997	87028797	CROT	37.43	protein_coding	ensembl	transferase activity, transferring acyl groups	1923
ENST00000265723	ENSG00000005471	7	87031365	87105055	ABCB4	38.6	protein_coding	ensembl	membrane	3861
ENST00000257745	ENSG00000005483	7	104654637	104754531	MLL5	37.46	protein_coding	ensembl	transcription coactivator activity	5577
ENST00000006777	ENSG00000005486	7	75508266	75518239	RHBDD2	47.79	protein_coding	ensembl	serine-type endopeptidase activity	1095
ENST00000293894	ENSG00000005513	16	1031808	1036979	SOX8	64.79	protein_coding	ensembl	positive regulation of transcription from RNA polymerase II promoter	1341
ENST00000306270	ENSG00000005700	6	82879700	82957471	IBTK	36.07	protein_coding	ensembl	release of sequestered calcium ion into cytosol	4062
ENST00000005082	ENSG00000005801	11	3380224	3400346	ZNF195	41.43	protein_coding	ensembl	regulation of transcription, DNA-dependent	1821
ENST00000357337	ENSG00000005810	13	77618793	77901179	MYCBP2	35.72	protein_coding	ensembl	regulation of transcription, DNA-dependent	13923
ENST00000355619	ENSG00000005812	13	77579389	77601285	FBXL3	38.37	protein_coding	ensembl	SCF ubiquitin ligase complex	1287
ENST00000356798	ENSG00000005844	16	30483979	30534506	ITGAL	50.46	protein_coding	ensembl	positive regulation of T cell proliferation	3513
ENST00000007708	ENSG00000005882	17	48172101	48188422	PDK2	56.67	protein_coding	ensembl	glucose metabolic process	1032
ENST00000007722	ENSG00000005884	17	48133804	48167093	ITGA3	52.65	protein_coding	ensembl	plasma membrane	3201
ENST00000540034	ENSG00000005889	X	24169879	24229716	ZFX	40.77	protein_coding	ensembl	DNA binding	2535
ENST00000434600	ENSG00000005893	X	119561682	119603220	LAMP2	38.79	protein_coding	ensembl	platelet activation	1236
ENST00000304718	ENSG00000005955	17	34900737	34946278	GGNBP2	42.16	protein_coding	ensembl	cytoplasm	2094
ENST00000262407	ENSG00000005961	17	42449551	42466873	ITGA2B	54.83	protein_coding	ensembl	platelet degranulation	3120
ENST00000325885	ENSG00000005981	7	95115213	95169544	ASB4	38.27	protein_coding	ensembl	protein binding	1281
ENST00000353258	ENSG00000006007	16	19513015	19533467	GDE1	40.17	protein_coding	ensembl	lipid metabolic process	996
ENST00000358607	ENSG00000006015	19	18699535	18703146	C19orf60	60.24	protein_coding	ensembl	protein binding	606
ENST00000007414	ENSG00000006025	17	45884738	45899136	OSBPL7	57.86	protein_coding	ensembl	plasma membrane	2529
ENST00000261713	ENSG00000006042	17	31255089	31267995	TMEM98	48.47	protein_coding	ensembl		605
ENST00000007699	ENSG00000006047	17	7191571	7197883	YBX2	57.92	protein_coding	ensembl	mRNA 3'-UTR binding	1095
ENST00000007735	ENSG00000006059	17	39502344	39507064	KRT33A	48.36	protein_coding	ensembl	intermediate filament	1215
ENST00000302539	ENSG00000006071	11	17414432	17498449	ABCC8	50.03	protein_coding	ensembl	regulation of insulin secretion	4749
ENST00000004921	ENSG00000006074	17	34391640	34399392	CCL18	44.43	protein_coding	ensembl	extracellular region	270
ENST00000225245	ENSG00000006075	17	34415602	34417487	CCL3	52.19	protein_coding	ensembl	positive regulation of cell migration	279
ENST00000339208	ENSG00000006114	17	35874900	35969544	SYNRG	40.82	protein_coding	ensembl	cytoplasm	3945
ENST00000005284	ENSG00000006116	16	24266874	24374122	CACNG3	44.54	protein_coding	ensembl	plasma membrane	948
ENST00000005286	ENSG00000006118	11	60691953	60704631	TMEM132A	58.71	protein_coding	ensembl	biological_process	3075
ENST00000312678	ENSG00000006125	17	33914341	34051394	AP2B1	39.93	protein_coding	ensembl	regulation of defense response to virus by virus	2856
ENST00000319273	ENSG00000006128	7	97361220	97369784	TAC1	39.8	protein_coding	ensembl	positive regulation of renal sodium excretion	390
ENST00000219069	ENSG00000006194	16	3332943	3341460	ZNF263	47.12	protein_coding	ensembl	intracellular	2052
ENST00000563383	ENSG00000006210	16	57406389	57418953	CX3CL1	53.7	protein_coding	ensembl	extracellular region	1212
ENST00000006658	ENSG00000006282	17	48624450	48633213	SPATA20	57.05	protein_coding	ensembl	catalytic activity	2409
ENST00000359106	ENSG00000006283	17	48638821	48704626	CACNA1G	56.83	protein_coding	ensembl	voltage-gated calcium channel complex	7134
ENST00000575124	ENSG00000006327	16	3070376	3072384	TNFRSF12A	60.12	protein_coding	ensembl		681
ENST00000518156	ENSG00000006377	7	96634860	96640351	DLX6	49.51	protein_coding	ensembl	anatomical structure formation involved in morphogenesis	882
ENST00000555993	ENSG00000006432	14	71196368	71276251	MAP3K9	44.98	protein_coding	ensembl	apoptotic process	3357
ENST00000005257	ENSG00000006451	7	39663082	39747723	RALA	39.69	protein_coding	ensembl	intracellular protein transport	621
ENST00000005260	ENSG00000006453	7	97920963	98030380	BAIAP2L1	46.77	protein_coding	ensembl	response to bacterium	1536
ENST00000397560	ENSG00000006459	7	139784546	139876835	JHDM1D	39.18	protein_coding	ensembl	methylated histone residue binding	2826
ENST00000405358	ENSG00000006468	7	13932893	14028498	ETV1	36.3	protein_coding	ensembl	regulation of transcription, DNA-dependent	1476
ENST00000355413	ENSG00000006530	7	141250989	141355044	AGK	39.59	protein_coding	ensembl	ceramide biosynthetic process	1269
ENST00000007633	ENSG00000006534	11	67777790	67796741	ALDH3B1	58.4	protein_coding	ensembl	ethanol catabolic process	1398
ENST00000371276	ENSG00000006555	1	55245385	55266940	TTC22	52.26	protein_coding	ensembl	protein binding	1710
ENST00000248550	ENSG00000006576	7	77469497	77586539	PHTF2	37.65	protein_coding	ensembl	regulation of transcription, DNA-dependent	2358
ENST00000005180	ENSG00000006606	7	75398851	75401575	CCL26	48.09	protein_coding	ensembl	extracellular space	285
ENST00000264042	ENSG00000006607	2	242295658	242434256	FARP2	45.6	protein_coding	ensembl	cytoskeleton	3165
ENST00000005226	ENSG00000006611	11	17515879	17565854	USH1C	51.78	protein_coding	ensembl	cytosol	2700
ENST00000275428	ENSG00000006625	7	30536237	30544460	GGCT	42.02	protein_coding	ensembl	small molecule metabolic process	567
ENST00000265728	ENSG00000006634	7	87505544	87538856	DBF4	36.72	protein_coding	ensembl	nucleic acid binding	2025
ENST00000411851	ENSG00000006638	19	3594778	3606658	TBXA2R	55.77	protein_coding	ensembl	response to drug	1224
ENST00000005558	ENSG00000006652	7	112063199	112115582	IFRD1	39.45	protein_coding	ensembl	muscle cell differentiation	1356
ENST00000360675	ENSG00000006659	19	40195121	40199953	LGALS14	45.3	protein_coding	ensembl	carbohydrate binding	507
ENST00000261643	ENSG00000006695	17	13972846	14111994	COX10	38.47	protein_coding	ensembl	protoheme IX farnesyltransferase activity	1332
ENST00000455841	ENSG00000006704	7	73868300	74016931	GTF2IRD1	52.72	protein_coding	ensembl	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity	2931
ENST00000221265	ENSG00000006712	19	39876492	39881835	PAF1	52.73	protein_coding	ensembl	histone H2B ubiquitination	1596
ENST00000310301	ENSG00000006715	7	38762563	38948829	VPS41	38.35	protein_coding	ensembl	vesicle-mediated transport	2565
ENST00000379672	ENSG00000006740	17	12692856	12894959	ARHGAP44	42.68	protein_coding	ensembl	cytoplasm	2457
ENST00000338034	ENSG00000006744	17	12895708	12921504	ELAC2	48.08	protein_coding	ensembl	hydrolase activity	2481
ENST00000297029	ENSG00000006747	7	12610312	12693228	SCIN	38.55	protein_coding	ensembl	actin filament capping	2148
ENST00000381154	ENSG00000006756	X	2822011	2847392	ARSD	48.88	protein_coding	ensembl	sphingolipid metabolic process	1782
ENST00000381042	ENSG00000006757	X	7866288	7895484	PNPLA4	40.45	protein_coding	ensembl	triglyceride lipase activity	762
ENST00000252172	ENSG00000006788	17	10204183	10276322	MYH13	45.69	protein_coding	ensembl	motor activity	5817
ENST00000357103	ENSG00000006831	12	1800193	1897844	ADIPOR2	39.4	protein_coding	ensembl	protein heterodimerization activity	1161
ENST00000265334	ENSG00000006837	5	133634113	133702765	CDKL3	41.3	protein_coding	ensembl	protein phosphorylation	1779
ENST00000005756	ENSG00000007001	2	158958382	158992478	UPP2	40.24	protein_coding	ensembl	nucleotide catabolic process	954
ENST00000005995	ENSG00000007038	16	2867228	2871720	PRSS21	55.67	protein_coding	ensembl	proteolysis	945
ENST00000262891	ENSG00000007047	19	45754516	45806951	MARK4	53.57	protein_coding	ensembl	protein serine/threonine kinase activity	2259
ENST00000447510	ENSG00000007062	4	15969849	16077741	PROM1	43.17	protein_coding	ensembl	microvillus membrane	2598
ENST00000445755	ENSG00000007080	19	18043825	18054746	CCDC124	55.84	protein_coding	ensembl		672
ENST00000401445	ENSG00000007129	19	42082601	42092916	CEACAM21	44.65	protein_coding	ensembl	protein binding	882
ENST00000313735	ENSG00000007171	17	26083792	26127525	NOS2	51.36	protein_coding	ensembl	negative regulation of protein catabolic process	3462
ENST00000262442	ENSG00000007174	17	11501748	11873485	DNAH9	42.63	protein_coding	ensembl	cellular component movement	13461
ENST00000528896	ENSG00000007202	17	26941458	26972149	KIAA0100	46.75	protein_coding	ensembl	extracellular region	6708
ENST00000444914	ENSG00000007216	17	26800311	26824796	SLC13A2	52.55	protein_coding	ensembl	transport	1926
ENST00000323816	ENSG00000007237	17	9813926	10017870	GAS7	47.97	protein_coding	ensembl	ruffle	1239
ENST00000006275	ENSG00000007255	19	45666186	45681495	TRAPPC6A	56.86	protein_coding	ensembl	vesicle-mediated transport	522
ENST00000395045	ENSG00000007264	19	3777973	3801810	MATK	54.4	protein_coding	ensembl	protein kinase activity	1527
ENST00000006724	ENSG00000007306	19	42177235	42192296	CEACAM7	47.87	protein_coding	ensembl	plasma membrane	798
ENST00000392795	ENSG00000007312	17	62006100	62009696	CD79B	60.69	protein_coding	ensembl	cytoplasm	693
ENST00000435607	ENSG00000007314	17	62015914	62050278	SCN4A	56.1	protein_coding	ensembl	transmembrane transport	5511
ENST00000358039	ENSG00000007341	1	113066140	113162040	ST7L	39.05	protein_coding	ensembl	negative regulation of cell growth	1728
ENST00000369915	ENSG00000007350	X	153524024	153558700	TKTL1	48.32	protein_coding	ensembl	cytoplasm	1791
ENST00000379107	ENSG00000007372	11	31810730	31831853	PAX6	49.68	protein_coding	ensembl	positive regulation of transcription from RNA polymerase II promoter	1311
ENST00000007264	ENSG00000007376	16	834974	838383	RPUSD1	67.17	protein_coding	ensembl	RNA modification	939
ENST00000262316	ENSG00000007384	16	108058	122629	RHBDF1	61.14	protein_coding	ensembl	growth factor binding	2568
ENST00000293872	ENSG00000007392	16	238968	279449	LUC7L	47.33	protein_coding	ensembl	protein binding	1116
ENST00000423994	ENSG00000007402	3	50400233	50540854	CACNA2D2	56.52	protein_coding	ensembl	protein binding	3462
ENST00000324385	ENSG00000007516	16	1384505	1399439	BAIAP3	65.72	protein_coding	ensembl	protein binding	3564
ENST00000007390	ENSG00000007520	16	1399241	1401912	TSR3	62.57	protein_coding	ensembl	rRNA processing	939
ENST00000026218	ENSG00000007541	16	620018	634109	PIGQ	64.36	protein_coding	ensembl	preassembly of GPI anchor in ER membrane	2283
ENST00000293925	ENSG00000007545	16	1664641	1727907	CRAMP1L	53.11	protein_coding	ensembl	chromatin binding	3810
ENST00000338863	ENSG00000007866	6	35441374	35464853	TEAD3	56.75	protein_coding	ensembl	hippo signaling cascade	1308
ENST00000333360	ENSG00000007908	1	169691782	169703203	SELE	39.01	protein_coding	ensembl	positive regulation of leukocyte migration	1833
ENST00000377577	ENSG00000007923	1	6694228	6761984	DNAJC11	46.6	protein_coding	ensembl	mitochondrion	1680
ENST00000367755	ENSG00000007933	1	171060018	171086959	FMO3	36.5	protein_coding	ensembl	flavin adenine dinucleotide binding	1599
ENST00000356840	ENSG00000007944	6	16129356	16147112	MYLIP	40.19	protein_coding	ensembl	protein binding	1338
ENST00000372966	ENSG00000007952	X	100098313	100129334	NOX1	41.14	protein_coding	ensembl	response to stress	1695
ENST00000361729	ENSG00000007968	1	23832922	23857712	E2F2	51.66	protein_coding	ensembl	transcription initiation from RNA polymerase II promoter	1314
ENST00000262193	ENSG00000008018	6	170844205	170862429	PSMB1	39.81	protein_coding	ensembl	mRNA metabolic process	726
ENST00000295987	ENSG00000008056	X	47431303	47479252	SYN1	47.76	protein_coding	ensembl	synaptic vesicle	2118
ENST00000341776	ENSG00000008083	6	15246527	15522252	JARID2	43.92	protein_coding	ensembl	chromatin binding	3741
ENST00000379989	ENSG00000008086	X	18460308	18671745	CDKL5	40.21	protein_coding	ensembl	cytoplasm	3093
ENST00000009105	ENSG00000008118	1	209757062	209787283	CAMK1G	47.01	protein_coding	ensembl	calcium- and calmodulin-dependent protein kinase complex	1431
ENST00000378633	ENSG00000008128	1	1634320	1655763	CDK11A	51.99	protein_coding	ensembl	cyclin-dependent protein serine/threonine kinase activity	2352
ENST00000344463	ENSG00000008130	1	1682678	1709909	NADK	53.7	protein_coding	ensembl	metabolic process	1776
ENST00000263046	ENSG00000008196	6	50786439	50815326	TFAP2B	44.14	protein_coding	ensembl	positive regulation of neuron apoptotic process	1410
ENST00000008391	ENSG00000008197	6	50681541	50740701	TFAP2D	37.24	protein_coding	ensembl	sequence-specific DNA binding RNA polymerase II transcription factor activity	1359
ENST00000346219	ENSG00000008226	3	38080696	38164229	DLEC1	48.5	protein_coding	ensembl	molecular_function	5337
ENST00000350796	ENSG00000008256	7	6201407	6312275	CYTH3	44.78	protein_coding	ensembl	cytoplasm	1200
ENST00000265727	ENSG00000008277	7	87563702	87825897	ADAM22	37.29	protein_coding	ensembl	gliogenesis	2721
ENST00000011473	ENSG00000008282	7	105730951	105753022	SYPL1	38.18	protein_coding	ensembl	synaptic transmission	780
ENST00000542042	ENSG00000008283	17	61511501	61515672	CYB561	57.41	protein_coding	ensembl	electron transport chain	957
ENST00000262013	ENSG00000008294	17	49039535	49198226	SPAG9	40	protein_coding	ensembl	protein homooligomerization	3966
ENST00000544264	ENSG00000008300	3	48673902	48700348	CELSR3	59.89	protein_coding	ensembl	plasma membrane	9954
ENST00000393376	ENSG00000008311	7	121716187	121773876	AASS	36.48	protein_coding	ensembl	intracellular membrane-bounded organelle	2781
ENST00000011684	ENSG00000008323	12	6419602	6437671	PLEKHG6	55.71	protein_coding	ensembl	regulation of Rho protein signal transduction	2373
ENST00000011691	ENSG00000008324	3	42632298	42636490	SS18L2	47.77	protein_coding	ensembl		234
ENST00000596722	ENSG00000008382	19	4343602	4360065	MPND	55.95	protein_coding	ensembl	protein binding	1512
ENST00000010404	ENSG00000008394	12	16500076	16517343	MGST1	36.94	protein_coding	ensembl	response to drug	468
ENST00000008527	ENSG00000008405	12	107385142	107487607	CRY1	37.62	protein_coding	ensembl	negative regulation of transcription from RNA polymerase II promoter	1761
ENST00000008938	ENSG00000008438	19	46522411	46526323	PGLYRP1	57.73	protein_coding	ensembl	innate immune response	591
ENST00000592199	ENSG00000008441	19	13106652	13205463	NFIX	55.28	protein_coding	ensembl	transcription, DNA-dependent	1509
ENST00000319914	ENSG00000008513	8	134467091	134584183	ST3GAL1	49.4	protein_coding	ensembl	small molecule metabolic process	1023
ENST00000336577	ENSG00000008516	16	3096682	3110727	MMP25	58.2	protein_coding	ensembl	calcium ion binding	1689
ENST00000396890	ENSG00000008517	16	3115640	3119641	IL32	53.24	protein_coding	ensembl	cell adhesion	705
ENST00000262304	ENSG00000008710	16	2138711	2185899	PKD1	63.1	protein_coding	ensembl	skin development	12912
ENST00000329492	ENSG00000008735	22	51039131	51049976	MAPK8IP2	63.07	protein_coding	ensembl	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	2472
ENST00000394126	ENSG00000008838	17	38175350	38210345	MED24	50.63	protein_coding	ensembl	vitamin D receptor binding	3045
ENST00000519685	ENSG00000008853	8	22844930	22875954	RHOBTB2	53.51	protein_coding	ensembl	signal transduction	2250
ENST00000233099	ENSG00000008869	2	37208040	37311485	HEATR5B	38.59	protein_coding	ensembl	protein binding	6216
ENST00000337002	ENSG00000008952	3	169684553	169716161	SEC62	36.6	protein_coding	ensembl	cotranslational protein targeting to membrane	1200
ENST00000519807	ENSG00000008988	8	56979854	56987068	RPS20	41.82	protein_coding	ensembl	viral reproduction	429
ENST00000438362	ENSG00000009307	1	115259537	115292811	CSDE1	38.28	protein_coding	ensembl	nucleic acid binding	2535
ENST00000348165	ENSG00000009335	7	156931607	157062066	UBE3C	42.12	protein_coding	ensembl	protein polyubiquitination	3252
ENST00000358835	ENSG00000009413	6	111620278	111804915	REV3L	36.9	protein_coding	ensembl	DNA replication	9393
ENST00000422452	ENSG00000009694	X	123509758	124097666	TENM1	37.17	protein_coding	ensembl	cytoplasm	8199
